3,MTZ (con lazy constraints),MTZ,GG
att48.tsp,186.679,405.781,12.532
berlin52.tsp,1.406,5.486,7.551
burma14.tsp,0.126,0.271,0.201
eil101.tsp,6.136,268.616,228.185
eil51.tsp,2.265,5.302,31.927
eil76.tsp,2.615,30.064,96.272
gr96.tsp,731.232,575.945,371.457
kroA100.tsp,1203.12,1200.229,468.402
kroB100.tsp,1202.865,1200.196,638.129
kroB150.tsp,1202.594,1200.807,1200.261
kroC100.tsp,1203.427,1200.222,299.991
kroD100.tsp,1203.686,1200.255,239.841
kroE100.tsp,1203.42,1200.248,306.457
pr124.tsp,1203.138,1200.261,1200.311
pr136.tsp,1203.381,1200.275,1200.302
pr76.tsp,425.937,1112.979,482.098
rat99.tsp,10.136,281.254,167.077
rd100.tsp,459.557,623.765,254.192
st70.tsp,260.757,1200.148,60.892
ulysses16.tsp,1.801,2.749,0.63
