4,Insertion,Nearest Neighborhood,Nearest Neighborhood+GRASP,Insertion+GRASP
a280.tsp,2817.92,2772.51,2784.32,2796.68
ali535.tsp,2186.59,2125.32,2156.74,2194.68
att532.tsp,95278.72,92197.86,92571.3,95278.72
d1291.tsp,55837.31,54471.31,55255.14,55837.31
d1665.tsp,67388.14,66719.25,67200.25,67847.16
d2103.tsp,83354.07,82445.24,84145.24,83354.07
d493.tsp,37991.33,36748.84,37047.52,37937.91
d657.tsp,54818.1,51685.3,52341.2,54524.77
dsj1000.tsp,20741407.35,20359263.48,20214411.67,20657356.07
fl1400.tsp,21580.66,21291.85,21301.27,21646.28
fl1577.tsp,24438.44,23307.58,23392.2,24405.16
fl417.tsp,12706.85,12326.09,12278.76,12712.88
gil262.tsp,2614.51,2521.21,2535.53,2590.11
gr431.tsp,2046.59,2044.25,2060.65,2046.59
gr666.tsp,3374.16,3317.72,3317.72,3377.25
lin318.tsp,45986.47,45532.06,45480.76,45926.3
nrw1379.tsp,62273.17,60523.18,60843.52,62295.46
p654.tsp,38113.48,35381.28,35883.25,38255.21
pcb1173.tsp,62190.34,62436.66,62787.08,62811.54
pcb442.tsp,55455.11,53002.57,52439.6,55414.92
pr1002.tsp,285476.34,278473.49,280469.29,284900.4
pr299.tsp,52751.57,50920.49,52446.53,52282.79 
pr439.tsp,117315.31,113483.7,115637.95,117717.59
rat575.tsp,7421.49,7184.38,7206.17,7420.7
rat783.tsp,9670.53,9418.27,9508.13,9664.22
rd400.tsp,16649.07,16307.31,16432.46,16515.94
rl1304.tsp,282135.94,274723.68,274723.68,283443.11
rl1323.tsp,297641.77,290628.52,291343.66,301249.17
rl1889.tsp,352153.29,339944.06,346590.7,352256.86
u1060.tsp,251325.95,241584.55,242756.36,250829.17
u1432.tsp,168218.63,165972.05,166245.09,167766.5
u1817.tsp,63120.91,62143.87,62035.52,63120.91
u574.tsp,40965.17,39122.03,39867.53,41019.72
u724.tsp,47088.64,44935.42,44921.8,47271.16
vm1084.tsp,260985.29,256049.81,260414.62,261148.58
vm1748.tsp,375447.73,358951.32,358951.32,372341.92
