4,Branch&Cut con Soft Fixing,Branch&Cut con Hard Fixing,Branch&Cut Generic con Soft Fixing,Branch&Cut Generic con Hard Fixing
a280.tsp, 2724.77,2586.77, 2608.26, 2586.77
att532.tsp, 1147110.24, 94035.59, 386595.10, 87368.30
bier127.tsp, 118293.52, 118293.52, 118293.52, 118293.52
d198.tsp, 15822.50, 15808.65, 15808.65, 15808.65
d493.tsp, 246364.95, 35043.38, 244907.83, 35018.92
eil76.tsp, 544.37, 544.37, 544.37,544.37
eil101.tsp, 640.21, 640.21, 640.21, 640.21
fl417.tsp, 309353.68, 13851.95, 235146.98, 11966.50
gr137.tsp, 706.29, 706.29, 706.29, 706.29
gr202.tsp, 486.50, 486.35, 486.78, 486.35
lin105.tsp, 14383.00, 14383.00, 14383.00, 14383.00
lin318.tsp, 44649.54, 42042.54, 42258.85, 42275.83
pcb442.tsp, 50783.55, 50783.55,177301.04, 50783.55
pr144.tsp, 58535.22, 58535.22,58535.22 , 58535.22
pr264.tsp, 611127.23, 49374.84,49135.00 , 49410.30
pr299.tsp, 48469.13, 48323.36,48226.92 , 48194.92
pr439.tsp, 107537.87, 108632.65,501047.16,107332.47
rat575.tsp, 84631.45, 6934.26,7533.38, 6799.55
rd400.tsp, 15290.98, 15285.50,23080.53, 15275.98
u159.tsp, 42075.67, 42075.67, 42075.67, 42075.67
