a280.tsp,2817.92,2796.68,2772.51,2784.32,,
ali535.tsp,2186.59,2194.68,2125.32,2156.74,,
att532.tsp,95278.72,95278.72,92197.86,92571.3,,
d1291.tsp,55837.31,55837.31,54471.31,55255.14,,
d1665.tsp,67388.14,67847.16,66719.25,67200.25,,
d2103.tsp,83354.07,83354.07,82445.24,84145.24,,
d493.tsp,37991.33,37937.91,36748.84,37047.52,,
d657.tsp,54818.1,54524.77,51685.3,52341.2,,
dsj1000.tsp,20741407.35,20657356.07,20359263.48,20214411.67,,
fl1400.tsp,21580.66,21646.28,21291.85,21301.27,,
fl1577.tsp,24438.44,24405.16,23307.58,23392.2,,
fl417.tsp,12706.85,12712.88,12326.09,12278.76,,
gil262.tsp,2614.51,2590.11,2521.21,2535.53,,
gr431.tsp,2046.59,2046.59,2044.25,2060.65,,
gr666.tsp,3374.16,3377.25,3317.72,3317.72,,
lin318.tsp,45986.47,45926.3,45532.06,45480.76,,
nrw1379.tsp,62273.17,62295.46,60523.18,60843.52,,
p654.tsp,38113.48,38255.21,35381.28,35883.25,,
pcb1173.tsp,62190.34,62811.54,62436.66,62787.08,,
pcb442.tsp,55455.11,55414.92,53002.57,52439.6,,
pr1002.tsp,285476.34,284900.4,278473.49,280469.29,,
pr299.tsp,52751.57,52282.79,50920.49,52446.53,,
pr439.tsp,117315.31,117717.59,113483.7,115637.95,,
rat575.tsp,7421.49,7420.7,7184.38,7206.17,,
rat783.tsp,9670.53,9664.22,9418.27,9508.13,,
rd400.tsp,16649.07,16515.94,16307.31,16432.46,,
rl1304.tsp,282135.94,283443.11,274723.68,274723.68,,
rl1323.tsp,297641.77,301249.17,290628.52,291343.66,,
rl1889.tsp,352153.29,352256.86,339944.06,346590.7,,
u1060.tsp,251325.95,250829.17,241584.55,242756.36,,
u1432.tsp,168218.63,167766.5,165972.05,166245.09,,
u1817.tsp,63120.91,63120.91,62143.87,62035.52,,
u574.tsp,40965.17,41019.72,39122.03,39867.53,,
u724.tsp,47088.64,47271.16,44935.42,44921.8,,
vm1084.tsp,260985.29,261148.58,256049.81,260414.62,,
vm1748.tsp,375447.73,372341.92,358951.32,358951.32,,
