File,MTZ (con lazy constraint),MTZ,GG
att48.tsp,186.679,405.781,12.532
berlin52.tsp,1.406,5.486,7.551
burma14.tsp,0.126,0.271,0.201
eil101.tsp,6.136,268.616,228.185
eil51.tsp,2.265,5.302,31.927
eil76.tsp,2.615,30.064,96.272
gr96.tsp,731.232,575.945,371.457
kroA100.tsp,TIME LIMIT,TIME LIMIT,468.402
kroB100.tsp,TIME LIMIT,TIME LIMIT,638.129
kroB150.tsp,TIME LIMIT,TIME LIMIT,TIME LIMIT
kroC100.tsp,TIME LIMIT,TIME LIMIT,299.991
kroD100.tsp,TIME LIMIT,TIME LIMIT,239.841
kroE100.tsp,TIME LIMIT,TIME LIMIT,306.457
pr124.tsp,TIME LIMIT,TIME LIMIT,TIME LIMIT
pr136.tsp,TIME LIMIT,TIME LIMIT,TIME LIMIT
pr76.tsp,425.937,1112.979,482.098
rat99.tsp,10.136,281.254,167.077
rd100.tsp,459.557,623.765,254.192
st70.tsp,260.757,TIME LIMIT,60.892
ulysses16.tsp,1.801,2.749,0.630
